time,xArm,yArm,zArm,xtraj,ytraj,ztraj,xGoal,yGoal,zGoal,xPArm,yPArm,zPArm
2.178,0.00733302,0.0877461,0.635483,0.514357,0.0807951,0.552074,-0.330579,-0.721611,0.854624,0.611172,0.110035,0.603
2.196,0.00696198,0.0887964,0.637199,0.514703,0.0814101,0.550805,-0.330579,-0.721611,0.854624,0.612361,0.111561,0.605022
2.214,0.00717368,0.0897904,0.638704,0.515046,0.0820243,0.549539,-0.330579,-0.721611,0.854624,0.613791,0.113034,0.606797
2.232,0.00725005,0.0903935,0.638907,0.515387,0.0826376,0.548274,-0.330579,-0.721611,0.854624,0.616086,0.114077,0.60736
2.25,0.00706859,0.0908852,0.636834,0.515725,0.08325,0.547011,-0.330579,-0.721611,0.854624,0.61899,0.114912,0.604978
2.268,0.00686652,0.0921918,0.635233,0.51606,0.0838616,0.545749,-0.330579,-0.721611,0.854624,0.620808,0.116406,0.603
2.286,0.00686464,0.0936646,0.634982,0.516393,0.0844723,0.54449,-0.330579,-0.721611,0.854624,0.622155,0.118107,0.602515
2.304,0.00689329,0.095072,0.635566,0.516723,0.0850821,0.543232,-0.330579,-0.721611,0.854624,0.623185,0.119772,0.603063
2.322,0.0066529,0.0964953,0.636637,0.51705,0.0856911,0.541976,-0.330579,-0.721611,0.854624,0.623858,0.121451,0.604294
2.34,0.00692392,0.0979512,0.63797,0.517375,0.0862992,0.540722,-0.330579,-0.721611,0.854624,0.624423,0.123181,0.60591
2.358,0.00683021,0.0994473,0.639286,0.517697,0.0869064,0.53947,-0.330579,-0.721611,0.854624,0.625112,0.125003,0.607519
2.376,0.0072096,0.100976,0.640466,0.518016,0.0875128,0.538219,-0.330579,-0.721611,0.854624,0.625986,0.126878,0.608975
2.394,0.00719666,0.102492,0.64151,0.518333,0.0881184,0.536971,-0.330579,-0.721611,0.854624,0.627071,0.128728,0.610276
2.412,0.00714359,0.104012,0.642458,0.518647,0.088723,0.535724,-0.330579,-0.721611,0.854624,0.628395,0.130565,0.611459
2.43,0.00686904,0.105985,0.642256,0.518958,0.0893268,0.534478,-0.330579,-0.721611,0.854624,0.630304,0.132932,0.611559
2.448,0.00708372,0.108318,0.640227,0.519267,0.0899297,0.533235,-0.330579,-0.721611,0.854624,0.632159,0.135981,0.609207
2.466,0.00712625,0.109477,0.63917,0.519573,0.0905318,0.531993,-0.330579,-0.721611,0.854624,0.632941,0.137539,0.60792
2.484,0.00790063,0.10979,0.639502,0.519877,0.091133,0.530753,-0.330579,-0.721611,0.854624,0.633363,0.138115,0.608207
2.502,0.0193253,0.109947,0.640603,0.520178,0.0917333,0.529515,-0.330579,-0.721611,0.854624,0.633348,0.138618,0.609425
2.52,0.0218472,0.110031,0.642155,0.520476,0.0923328,0.528279,-0.330579,-0.721611,0.854624,0.632849,0.139099,0.611298
2.538,0.0239882,0.110031,0.643873,0.520772,0.0929314,0.527044,-0.330579,-0.721611,0.854624,0.632197,0.139513,0.613423
2.556,0.022133,0.110046,0.645543,0.521065,0.0935292,0.525812,-0.330579,-0.721611,0.854624,0.631597,0.139948,0.615491
2.574,0.0190858,0.110086,0.647077,0.521356,0.094126,0.524581,-0.330579,-0.721611,0.854624,0.631082,0.140409,0.617396
2.592,0.017672,0.110089,0.648443,0.521644,0.094722,0.523352,-0.330579,-0.721611,0.854624,0.630682,0.140828,0.619108
2.61,0.0138436,0.110007,0.649621,0.52193,0.0953172,0.522124,-0.330579,-0.721611,0.854624,0.630446,0.14115,0.620596
2.628,0.0098972,0.109496,0.649676,0.522213,0.0959115,0.520899,-0.330579,-0.721611,0.854624,0.630993,0.140987,0.621021
2.646,0.00762969,0.108668,0.647678,0.522493,0.0965049,0.519675,-0.330579,-0.721611,0.854624,0.632214,0.140419,0.618938
2.664,0.0178993,0.108632,0.646045,0.522771,0.0970975,0.518453,-0.330579,-0.721611,0.854624,0.632664,0.14055,0.61708
2.682,0.0199362,0.109002,0.645687,0.523046,0.0976892,0.517232,-0.330579,-0.721611,0.854624,0.632752,0.141118,0.616567
2.7,0.0187423,0.109418,0.645965,0.523319,0.09828,0.516014,-0.330579,-0.721611,0.854624,0.632527,0.141727,0.616845
2.718,0.0192038,0.109858,0.646509,0.52359,0.09887,0.514797,-0.330579,-0.721611,0.854624,0.631972,0.142332,0.617554
2.736,0.0194835,0.110369,0.647147,0.523857,0.0994591,0.513582,-0.330579,-0.721611,0.854624,0.631298,0.143013,0.618421
2.754,0.0182725,0.110916,0.647759,0.524123,0.100047,0.512369,-0.330579,-0.721611,0.854624,0.63068,0.143757,0.619257
2.772,0.0143605,0.111429,0.648257,0.524385,0.100635,0.511158,-0.330579,-0.721611,0.854624,0.630188,0.144469,0.619971
2.79,0.0108459,0.111895,0.648581,0.524646,0.101221,0.509948,-0.330579,-0.721611,0.854624,0.62987,0.145119,0.620497
2.808,0.00836273,0.112335,0.648716,0.524904,0.101807,0.50874,-0.330579,-0.721611,0.854624,0.629761,0.145729,0.620802
2.826,0.00762436,0.113131,0.647814,0.525159,0.102392,0.507534,-0.330579,-0.721611,0.854624,0.630073,0.146766,0.620099
2.844,0.00697762,0.114241,0.64534,0.525412,0.102976,0.50633,-0.330579,-0.721611,0.854624,0.630337,0.148325,0.617424
2.862,0.00787946,0.114453,0.643634,0.525662,0.103559,0.505128,-0.330579,-0.721611,0.854624,0.63021,0.14875,0.615471
2.88,0.00735758,0.114061,0.643159,0.52591,0.104141,0.503927,-0.330579,-0.721611,0.854624,0.629956,0.14848,0.614854
2.898,0.00690175,0.113545,0.643256,0.526155,0.104722,0.502728,-0.330579,-0.721611,0.854624,0.629257,0.148138,0.614965
2.916,0.00771056,0.11295,0.643608,0.526398,0.105303,0.501531,-0.330579,-0.721611,0.854624,0.628102,0.147739,0.61549
2.934,0.00735929,0.112269,0.644036,0.526639,0.105882,0.500336,-0.330579,-0.721611,0.854624,0.626811,0.14725,0.616143
2.952,0.00701853,0.111583,0.644408,0.526877,0.106461,0.499142,-0.330579,-0.721611,0.854624,0.625546,0.146749,0.616714
